Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
167,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
168,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
169,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
170,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
171,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
172,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
173,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
174,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
175,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
176,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
177,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
178,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
179,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
180,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
181,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
182,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
183,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
184,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
185,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
186,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
187,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
188,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
189,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
190,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
191,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
192,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
193,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
194,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
195,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
196,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
197,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
198,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
199,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
